firstName|lastName|positionType|destination
George|Silvanic|Defense|Air Force
Tim|McClendon|Defense|Air Force
Anthony|Williams Jr.|Offense|Akron
Jeslord|Boateng|Defense|Akron
Nikolas|Ognenovic|Offense|Akron
Brylan|Lanier|Defense|Alabama
Henry|To'o To'o|Defense|Alabama
Jack|Martin|Special|Alabama
Jameson|Williams|Offense|Alabama
Austyn|Chestnut|UNK|Appalachian State
Chase|Brice|UNK|Appalachian State
Donte|Small|Defense|Appalachian State
Isaiah|Helms|Offense|Appalachian State
Jahmir|Smith|Offense|Appalachian State
Madison|Cone|Defense|Appalachian State
Stuart|Head|Defense|Appalachian State
Davis|DiVall|Defense|Arizona
Drake|Anderson|Offense|Arizona
Gunner|Cruz|Offense|Arizona
Gunner|Maldonado|Defense|Arizona
Isaiah|Rutherford|Defense|Arizona
Jamarye|Joiner|Offense|Arizona
Jason|Harris|Defense|Arizona
Jerry|Roberts|Defense|Arizona
Jordan|McCloud|Offense|Arizona
Kenny|Hebert|Defense|Arizona
Leevel|Tatum|Defense|Arizona
Malik|Reed|Defense|Arizona
Nick|Moore|Offense|Arizona
Rashie|Hodge|Defense|Arizona
Stanley|Berryhill|Offense|Arizona
Treshaun|Hayward|Defense|Arizona
Bryan|Thompson|Offense|Arizona State
Chandler|Fincher|Defense|Arizona State
Jalin|Conyers|Offense|Arizona State
Matthew|Pola-Mao|Defense|Arizona State
Travez|Moore|Defense|Arizona State
Triston|Miller|Offense|Arizona State
Xavier|Steele|Defense|Arizona State
John|Ridgeway|Defense|Arkansas
Kade|Renfro|Offense|Arkansas
Markell|Utsey|Defense|Arkansas
Trent|Gordon|Defense|Arkansas
Ty'kieast|Crawford|Offense|Arkansas
Akeem|Hayes|Offense|Arkansas State
Alan|Lamar|Offense|Arkansas State
Allan|Walters|Offense|Arkansas State
Brady|Martin|Offense|Arkansas State
Caleb|Bonner|Defense|Arkansas State
James|Blackman|Offense|Arkansas State
John|Mincey|Defense|Arkansas State
Johnnie|Lang|Offense|Arkansas State
Joseph|Ozougwu|Defense|Arkansas State
Justin|Rice|Defense|Arkansas State
Khyheem|Waleed|Offense|Arkansas State
Kivon|Bennett|Defense|Arkansas State
Nick|Lewis|Offense|Arkansas State
Quay|Mays|Defense|Arkansas State
Robert|Holmes|Defense|Arkansas State
Tevailance|Hunt|Offense|Arkansas State
Thurman|Geathers|Defense|Arkansas State
Andrew|Leota|Defense|Auburn
Bydarrius|Knighten|Defense|Auburn
Christian|Tutt|Defense|Auburn
Demetris|Robertson|Offense|Auburn
Donovan|Kaufman|Defense|Auburn
Dreshun|Miller|Defense|Auburn
Jordon|Ingram|Offense|Auburn
Marcus|Harris|Defense|Auburn
T.J.|Finley|Offense|Auburn
Tony|Fair|Defense|Auburn
Chayce|Bishop|Defense|Ball State
Damon|Kaylor|Offense|Ball State
Bralen|Taylor|Defense|Baylor
Drew|Estrada|Offense|Baylor
Grant|Miller|Defense|Baylor
Hal|Presley|Offense|Baylor
Jacob|Gall|Defense|Baylor
Siaki|Ika|Defense|Baylor
Caleb|Biggers|Defense|Boise State
Cyrus|Habibi-Likio|Offense|Boise State
Jalen|Neal|Defense|Boise State
Jared|Reed|Defense|Boise State
Kurt|Rafdal|Offense|Boise State
Will|Farrar|Offense|Boise State
Alec|Sinkfield|Offense|Boston College
Isaiah|Graham-Mobley|Defense|Boston College
Jaiden|Lars-Woodbey|Defense|Boston College
Jake|Byczko|Defense|Boston College
Khris|Banks|Defense|Boston College
Trae|Barry|Offense|Boston College
Ali|Saad|Defense|Bowling Green
Bryce|Brand|Defense|Bowling Green
Davon|Ferguson|Defense|Bowling Green
Drew|Gunther|UNK|Bowling Green
Tommy|Guajardo|Offense|Bowling Green
Cory|Gross|Defense|Buffalo
Ja'Marcus|Ingram|Defense|Buffalo
Josh|Rogers|Defense|Buffalo
Kevin|Marks Jr|Offense|Buffalo
Matt|Myers|Offense|Buffalo
Quian|Williams|Offense|Buffalo
Jakob|Robinson|Defense|BYU
Kaleb|Hayes|Defense|BYU
Mufi|Hunt|Defense|BYU
Puka|Nacua|Offense|BYU
Samson|Nacua|Offense|BYU
Beaux|Tagaloa|Defense|California
Gabriel|Cherry|Defense|California
Raymond|Woodie III|Defense|California
Jacob|Sirmon|Offense|Central Michigan
Levar|Gumms|Offense|Central Michigan
Marcel|Lewis|Defense|Central Michigan
Chibueze|Nwanna|Offense|Charlotte
Geo|Howard|Defense|Charlotte
James|Foster|UNK|Charlotte
Joshua|Bailey|Defense|Charlotte
Justin|Whisenhunt|Defense|Charlotte
Keith|Pearson|Offense|Charlotte
Kofi|Wardlow|Defense|Charlotte
Shadrick|Byrd|Offense|Charlotte
T.J.|Moore|Defense|Charlotte
Tank|Robinson|Defense|Charlotte
Valerian|Agbaw|UNK|Charlotte
Devin|Hightower|Defense|Cincinnati
James|Tunstall|Offense|Cincinnati
Jowon|Briggs|Defense|Cincinnati
Emmanuel|Johnson|Defense|Coastal Carolina
Tre|Douglas|Defense|Coastal Carolina
Turon|Ivy Jr.|Offense|Coastal Carolina
Zovon|Lindsay|Offense|Coastal Carolina
Blayne|Toll|Offense|Colorado
J.T.|Shrout|UNK|Colorado
Jack|Lamb|Defense|Colorado
Max|Wray|Offense|Colorado
Noah|Fenske|Offense|Colorado
Robert|Barnes|Defense|Colorado
David|Bailey|Offense|Colorado State
Emmanuel|Jones|Defense|Colorado State
